Sask River CMSd,Churchill River CMSd,Red River CMSd,Winnipeg River CMSd,GUNISAO RIVER CMSd,Lower Nelson Tribs CMSd,Load GWh,Month,Day
312,466,110,983,20,52.5,9.4,11,26
333,465,106,961,19.9,52.4,9.4,11,27
354,464,102,1040,19.4,52.4,9.5,11,28
369,463,99,1060,19,51.8,9.5,11,29
383,462,95,1020,18.7,52.1,9.4,11,30
395,461,93.1,988,18.5,52.6,9.5,12,1
402,460,91.2,1020,18.2,51.9,9.5,12,2
404,459,89.3,993,17.9,51.4,9.4,12,3
405,458,87.3,1030,17.7,51.5,9.5,12,4
408,457,85.4,1110,17.7,52,9.5,12,5
406,456,83.5,1060,17.6,51.7,9.5,12,6
392,455,81.6,995,17.3,50.6,9.5,12,7
381,454,81.3,973,17.2,50.1,9.5,12,8
385,453,81.1,993,16.8,49.7,9.5,12,9
392,452,80.9,993,16.4,49.4,9.5,12,10
390,451,80.7,1000,16.1,49.3,9.3,12,11
380,450,80.4,998,16,49.6,9.3,12,12
393,449,80.2,971,16.1,49.5,9.4,12,13
399,448,79.9,921,16.1,48.8,9.4,12,14
388,447,79.7,932,16,48.6,9.4,12,15
376,446,79.5,948,16,48.7,9.5,12,16
371,445,79.2,940,15.8,48.9,9.4,12,17
367,444,79,953,15.7,48.8,8.5,12,18
356,443,78.8,912,15.6,48.2,8.7,12,19
343,442,78.5,915,15.5,47.3,9.1,12,20
329,441,78.3,912,15.4,47.2,9.5,12,21
313,440,78.1,910,15,46.8,9.4,12,22
305,439,77.8,919,14.5,46.6,9.4,12,23
315,438,77.6,918,14.1,46,9.4,12,24
330,437,77.3,809,13.9,45.8,9.4,12,25
330,436,77.1,836,13.7,45.6,9.3,12,26
316,435,76.9,792,13.7,45.4,9.5,12,27
288,434,76.6,839,13.5,44.6,9.3,12,28
260,433,76.4,890,13.6,44.6,9.3,12,29
236,432,76.2,888,13.6,44.6,9.4,12,30
234,431,75.9,882,13.6,44.6,9.4,12,31
